FROM,TO,Com_Biz,Com_Jtw,Com_Non,Cor_Biz,Cor_Jtw,Cor_Non,Exp_Biz,Exp_Jtw,Exp_Non
AlbanySchenectadyTroyNY,AlbanySchenectadyTroyNY,0,0,0,389.789026331118,238.577322269467,1683.38095499693,0,0,0
AlbanySchenectadyTroyNY,AtlanticCityRestofNewJersey,0,0,0,1956.89114506283,0.308958982451153,452.261219989396,0,0,0
AlbanySchenectadyTroyNY,BaltimoreMetro,0,0,0,7736.15679383487,0.642129047777284,2168.84011917289,0,0,0
AlbanySchenectadyTroyNY,BostonMetroManchesterNashuaNH,0,0,0,12536.1598030215,6981.90299410444,49781.2545868596,0,0,0
AlbanySchenectadyTroyNY,BridgeportStamfordNorwalkCT,0,0,0,3575.84943808264,3147.11381959265,6434.59392985725,0,0,0
AlbanySchenectadyTroyNY,HarrisburgPALancasterPA,0,0,0,2998.17059867404,0.614130655638572,1014.89740517914,0,0,0
AlbanySchenectadyTroyNY,HartfordWestEastCT,0,0,0,657.40191860361,432.844265189444,2532.42199297595,0,0,0
AlbanySchenectadyTroyNY,KingstonNYHudsonNY,0,0,0,1097.34951273613,625.590875574986,4673.94274677607,0,0,0
AlbanySchenectadyTroyNY,LancasterPA,0,0,0,4639.08992432382,0.672926774303539,1193.07556033161,0,0,0
AlbanySchenectadyTroyNY,NewCastleDECecilMDSalemNJ,0,0,0,914.14678115083,0.109749223257416,181.945148366894,0,0,0
AlbanySchenectadyTroyNY,NewHavenMilfordCTLitchfieldCT,0,0,0,20403.2991987336,14479.8621876079,48576.5269263751,0,0,0
AlbanySchenectadyTroyNY,NewYorkCityNYWestchesterNYLongIsland,0,0,0,178746.586107798,55322.0098234054,535810.592769927,0,0,0
AlbanySchenectadyTroyNY,NewarkNJNorthernNewJersey,0,0,0,41060.9332612376,10463.4639301194,94430.2580934601,0,0,0
AlbanySchenectadyTroyNY,NorwichNewLondonCTWindhamCT,0,0,0,1368.79721831949,146.882016201322,3257.03732596969,0,0,0
AlbanySchenectadyTroyNY,PhiladelphiaMetroReadingPA,0,0,0,105.597981871745,0.169333801193602,282.156420770801,0,0,0
AlbanySchenectadyTroyNY,PoughkeepsieNewburgMiddletownNY,0,0,0,4650.13439786001,4172.10552305513,8582.0648539922,0,0,0
AlbanySchenectadyTroyNY,ProvidenceNewBedfordFallRiverRIMA,0,0,0,4109.78595146488,118.412839063466,7571.59478179591,0,0,0
AlbanySchenectadyTroyNY,RichmondMetroVA,0,0,0,5373.46655496757,0,783.934365697049,0,0,0
AlbanySchenectadyTroyNY,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,725.068673478435,1967.67962217106,8056.22770432738,0,0,0
AlbanySchenectadyTroyNY,WashingtonDCMetro,0,0,0,0.536423428704035,0.049251469547681,1.12859572012359,0,0,0
AtlanticCityRestofNewJersey,AlbanySchenectadyTroyNY,0,0,0,816.022397274443,0.130091746908466,231.413767596895,0,0,0
AtlanticCityRestofNewJersey,BaltimoreMetro,0,0,0,15273.8284542818,6120.08183876174,34749.4197780261,11105.4008002684,657.758657957051,6954.19286117053
AtlanticCityRestofNewJersey,BostonMetroManchesterNashuaNH,0,0,0,558.400256394392,2293.38834926586,1243.26832570075,1671.70128173525,673.474648147754,602.649897125526
AtlanticCityRestofNewJersey,BridgeportStamfordNorwalkCT,0,0,0,70.2352431896557,15.9352490910277,171.682800584236,310.643988275466,5.8832360742852,96.7322606413512
AtlanticCityRestofNewJersey,HarrisburgPALancasterPA,0,0,0,22897.5179171622,7300.01150702471,34202.3689352235,1682.38260916146,40.0356409698463,844.59099786962
AtlanticCityRestofNewJersey,HartfordWestEastCT,0,0,0,915.023854115227,323.978354063872,3730.91994245552,4101.8350616705,196.937735515955,2582.17946503197
AtlanticCityRestofNewJersey,KingstonNYHudsonNY,0,0,0,310.052116473254,0.0909960063969988,141.728077562662,0,0,0
AtlanticCityRestofNewJersey,LancasterPA,0,0,0,20586.0646999622,9093.13619626742,40989.5979921573,3460.79718493893,111.518390723339,1592.09983488155
AtlanticCityRestofNewJersey,NewCastleDECecilMDSalemNJ,0,0,0,1353.31955664379,794.614221140261,3346.41479287822,299.248610866358,20.5927004072264,196.363114654164
AtlanticCityRestofNewJersey,NewHavenMilfordCTLitchfieldCT,0,0,0,11470.3048805431,61.2210359723246,6984.16136202595,381.81018610326,0.0985620437453852,81.7617059043392
AtlanticCityRestofNewJersey,NewYorkCityNYWestchesterNYLongIsland,40721.25745044,14186.035874323,117069.642987505,34548.8676745408,19705.6984548824,155603.574839426,84774.6804946864,5598.95294307188,56586.6844987358
AtlanticCityRestofNewJersey,NewarkNJNorthernNewJersey,0,0,0,632.721281326346,179.269875147218,666.690632497046,0,0,0
AtlanticCityRestofNewJersey,NorwichNewLondonCTWindhamCT,0,0,0,943.846056444663,391.888604947407,2480.43272561662,631.169206342048,29.2678872870831,375.622726470658
AtlanticCityRestofNewJersey,PhiladelphiaMetroReadingPA,0,0,0,8170.42121392782,4305.61803861116,33717.2530713546,1359.39250492052,94.1565991005041,852.661958586145
AtlanticCityRestofNewJersey,ProvidenceNewBedfordFallRiverRIMA,0,0,0,326.347991435521,372.4352526917,836.354727178878,769.116863370736,88.7894185907111,337.384494673308
AtlanticCityRestofNewJersey,RichmondMetroVA,0,0,0,6686.14456899339,1581.73337843527,15470.4968336434,657.154589202922,0.0365948781575122,168.267010467054
AtlanticCityRestofNewJersey,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,909.156884945907,473.169612130998,2923.67827350664,1902.75547326767,119.301303399678,1373.02831814065
AtlanticCityRestofNewJersey,WashingtonDCMetro,0,0,0,58953.0760261454,26983.6215851968,198130.144182489,86198.3429251944,5404.18231914678,66638.864372339
BaltimoreMetro,AlbanySchenectadyTroyNY,0,0,0,2537.68555826944,0.23469623105855,665.25172790513,0,0,0
BaltimoreMetro,BaltimoreMetro,0,0,0,5255.31471651899,2740.08681664047,19442.9688215888,1209.54181073062,0.0256674530782067,1168.82804872548
BaltimoreMetro,BostonMetroManchesterNashuaNH,0,0,0,7067.79719940985,3607.70129145866,14781.7932042871,8401.03526613915,813.404591236909,6455.75630121507
BaltimoreMetro,BridgeportStamfordNorwalkCT,0,0,0,8535.45220869107,516.563224180362,25926.9191633562,11615.3623433638,142.368419039664,10567.182713637
BaltimoreMetro,HarrisburgPALancasterPA,0,0,0,23963.5461978629,31590.1665236554,160298.362054151,2042.18289515054,144.717073579256,3511.56297106717
BaltimoreMetro,HartfordWestEastCT,0,0,0,928.750998946844,691.67850597071,4923.68738880821,1536.94978208807,227.679078786445,1956.71809645551
BaltimoreMetro,KingstonNYHudsonNY,0,0,0,6568.85036323429,0.588228620923093,1040.65909863546,0,0,0
BaltimoreMetro,LancasterPA,0,0,0,1031.26212092076,994.194552858139,3526.7155182029,85.9024694049252,5.38135026470763,78.5040658664694
BaltimoreMetro,NewCastleDECecilMDSalemNJ,2426.57342738228,7414.07687931975,3331.03433120922,24470.4106605376,16596.6116683505,64604.7306127962,3888.53057088876,923.016896172233,3769.04811889539
BaltimoreMetro,NewHavenMilfordCTLitchfieldCT,0,0,0,68867.1398571421,1083.95339097277,115673.978133115,1161.41329115874,4.152162717695,616.26843112897
BaltimoreMetro,NewYorkCityNYWestchesterNYLongIsland,0,0,0,75136.4538297937,45315.3592965129,321613.816033815,94185.9081789075,11829.038217192,102051.005939736
BaltimoreMetro,NorwichNewLondonCTWindhamCT,0,0,0,61589.0001066872,2152.2831070537,15490.8992216933,7089.35387929606,151.731499503646,1773.84616795867
BaltimoreMetro,PhiladelphiaMetroReadingPA,0,0,0,40721.3157270278,18272.0529924456,136538.375413541,21427.641388914,1689.10742581411,14506.5843628767
BaltimoreMetro,ProvidenceNewBedfordFallRiverRIMA,0,0,0,1692.88917215273,1150.49575149904,16538.9263880444,3306.89765428781,268.131779792707,5338.22513222692
BaltimoreMetro,RichmondMetroVA,0,0,0,21171.7843402974,8504.67731043825,76533.7968542471,1873.51559327998,1.20116508007288,20.8959343042052
